                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  5.153,                 11.899,                 4.9319,                      0,                      0,                      0,                      0,                 6.1028,                 6.7832,                 4.1595,                  2e-05,                  2e-05,                  2e-05
                      2,                 5.0995,                 12.255,                 5.2002,                      0,                      0,                      0,                      0,                 6.1034,                  6.786,                 4.1601,             5.8812e-05,             5.8812e-05,             5.8812e-05
                      3,                  4.987,                 9.4921,                 4.9415,                      0,                      0,                      0,                      0,                 6.1041,                 6.7879,                 4.1608,              9.604e-05,              9.604e-05,              9.604e-05
                      4,                 4.6429,                 8.6573,                 4.8894,                      0,                      0,                      0,                      0,                  6.105,                 6.7889,                 4.1619,             0.00013168,             0.00013168,             0.00013168
                      5,                 4.2951,                 7.9826,                 4.8457,                      0,                      0,                      0,                      0,                 6.1063,                 6.7904,                 4.1634,             0.00016574,             0.00016574,             0.00016574
                      6,                  4.082,                 6.9027,                 4.5523,                      0,                      0,                      0,                      0,                 6.1079,                 6.7934,                 4.1655,             0.00019822,             0.00019822,             0.00019822
                      7,                 3.7175,                 7.0014,                 4.7208,                      0,                      0,                      0,                      0,                 6.1101,                 6.7974,                 4.1683,             0.00022911,             0.00022911,             0.00022911
                      8,                 3.5449,                 5.2283,                 4.3934,                      0,                      0,                      0,                      0,                 6.1127,                 6.8009,                  4.172,             0.00025842,             0.00025842,             0.00025842
                      9,                 3.2066,                 4.8931,                 4.3378,                      0,                      0,                      0,                      0,                 6.1143,                 6.8017,                 4.1742,             0.00028614,             0.00028614,             0.00028614
                     10,                 3.5614,                 5.5164,                 4.2475,                      0,                      0,                      0,                      0,                 6.1171,                 6.8045,                 4.1782,             0.00031228,             0.00031228,             0.00031228
                     11,                 3.3431,                  5.192,                  3.937,                      0,                      0,                      0,                      0,                 6.1203,                 6.8072,                 4.1828,             0.00033684,             0.00033684,             0.00033684
                     12,                 3.1431,                 4.9424,                 3.7959,                      0,                      0,                      0,                      0,                 6.1238,                 6.8098,                 4.1879,             0.00035981,             0.00035981,             0.00035981
                     13,                 3.0616,                 4.6252,                 3.8216,                      0,                      0,                      0,                      0,                 6.1276,                 6.8111,                 4.1933,              0.0003812,              0.0003812,              0.0003812
                     14,                 2.9999,                 4.8457,                 3.6589,                      0,                      0,                      0,                      0,                 6.1315,                 6.8129,                 4.1989,               0.000401,               0.000401,               0.000401
                     15,                 3.1146,                 4.0167,                 3.6001,                      0,                      0,                      0,                      0,                 6.1357,                 6.8143,                  4.205,             0.00041922,             0.00041922,             0.00041922
                     16,                 2.9215,                 4.7197,                 3.5232,                      0,                      0,                      0,                      0,                 6.1399,                 6.8158,                 4.2113,             0.00043586,             0.00043586,             0.00043586
                     17,                 3.1796,                  3.852,                  3.332,                      0,                      0,                      0,                      0,                 6.1441,                 6.8178,                 4.2176,             0.00045091,             0.00045091,             0.00045091
                     18,                 2.9868,                 3.8017,                  3.354,                      0,                      0,                      0,                      0,                 6.1484,                 6.8178,                 4.2241,             0.00046438,             0.00046438,             0.00046438
                     19,                 2.5484,                 3.1605,                   3.12,                      0,                      0,                      0,                      0,                 6.1533,                 6.8182,                 4.2313,             0.00047626,             0.00047626,             0.00047626
                     20,                 2.5675,                 3.6059,                 3.3258,                      0,                      0,                      0,                      0,                 6.1586,                 6.8111,                  4.239,             0.00048656,             0.00048656,             0.00048656
                     21,                 2.6979,                 3.6198,                 3.3418,                      0,                      0,                      0,                      0,                 6.1643,                 6.8014,                 4.2474,             0.00049528,             0.00049528,             0.00049528
                     22,                 2.9273,                 3.8444,                 2.9976,                      0,                      0,                      0,                      0,                 6.1698,                 6.7839,                 4.2562,             0.00050241,             0.00050241,             0.00050241
                     23,                 2.7361,                 3.3427,                 2.8362,                      0,                      0,                      0,                      0,                  6.175,                 6.7671,                 4.2651,             0.00050796,             0.00050796,             0.00050796
                     24,                 2.4112,                 3.0553,                 2.7898,                      0,                      0,                      0,                      0,                 6.1803,                 6.7364,                 4.2742,             0.00051192,             0.00051192,             0.00051192
                     25,                 2.4231,                 3.1627,                 2.5877,                      0,                      0,                      0,                      0,                 6.1862,                  6.699,                 4.2847,              0.0005143,              0.0005143,              0.0005143
                     26,                 2.6072,                 2.8382,                 2.5549,                      0,                      0,                      0,                      0,                 6.1921,                 6.6554,                 4.2948,              0.0005151,              0.0005151,              0.0005151
                     27,                 2.4987,                 3.0295,                 2.6618,                      0,                      0,                      0,                      0,                    6.2,                 6.5878,                 4.3087,             0.00051431,             0.00051431,             0.00051431
                     28,                 2.2001,                 2.8025,                 2.5349,                      0,                      0,                      0,                      0,                    6.2,                 6.5878,                 4.3087,             0.00051194,             0.00051194,             0.00051194
                     29,                 2.4505,                 2.8198,                 2.5913,                      0,                      0,                      0,                      0,                 6.2081,                 6.4935,                 4.3231,             0.00050798,             0.00050798,             0.00050798
                     30,                 2.3423,                 3.0051,                 2.6731,                      0,                      0,                      0,                      0,                 6.2161,                 6.3787,                 4.3382,             0.00050244,             0.00050244,             0.00050244
                     31,                 2.5461,                 3.0993,                  2.473,                      0,                      0,                      0,                      0,                 6.2161,                 6.3787,                 4.3382,             0.00049532,             0.00049532,             0.00049532
                     32,                 2.4719,                 2.8367,                 2.5243,                      0,                      0,                      0,                      0,                 6.2232,                 6.2792,                 4.3524,             0.00048661,             0.00048661,             0.00048661
                     33,                 2.5734,                    2.6,                 2.3249,                      0,                      0,                      0,                      0,                 6.2289,                 6.1996,                 4.3651,             0.00047632,             0.00047632,             0.00047632
                     34,                 2.0715,                 2.9949,                 2.4192,                      0,                      0,                      0,                      0,                 6.2289,                 6.1996,                 4.3651,             0.00046444,             0.00046444,             0.00046444
                     35,                 2.0933,                 2.4416,                 2.4291,                      0,                      0,                      0,                      0,                 6.2333,                 6.1767,                 4.3754,             0.00045098,             0.00045098,             0.00045098
                     36,                 2.1807,                 2.4377,                 2.2906,                      0,                      0,                      0,                      0,                 6.2381,                 6.1918,                 4.3859,             0.00043594,             0.00043594,             0.00043594
                     37,                 2.2142,                 2.7665,                 2.4209,                      0,                      0,                      0,                      0,                 6.2381,                 6.1918,                 4.3859,             0.00041931,             0.00041931,             0.00041931
                     38,                 2.2113,                 2.7715,                 2.4102,                      0,                      0,                      0,                      0,                 6.2422,                 6.2132,                 4.3947,              0.0004011,              0.0004011,              0.0004011
                     39,                 2.3037,                 2.7073,                 2.4882,                      0,                      0,                      0,                      0,                 6.2467,                 6.2302,                 4.4046,              0.0003813,              0.0003813,              0.0003813
                     40,                 1.9771,                 2.7736,                 2.2673,                      0,                      0,                      0,                      0,                 6.2467,                 6.2302,                 4.4046,             0.00035992,             0.00035992,             0.00035992
                     41,                 2.1027,                 3.4562,                 2.5416,                      0,                      0,                      0,                      0,                 6.2507,                 6.2146,                 4.4138,             0.00033696,             0.00033696,             0.00033696
                     42,                 2.1203,                 3.4172,                  2.484,                      0,                      0,                      0,                      0,                 6.2543,                 6.1582,                 4.4226,             0.00031241,             0.00031241,             0.00031241
                     43,                 1.8154,                  3.045,                 2.4196,                      0,                      0,                      0,                      0,                 6.2543,                 6.1582,                 4.4226,             0.00028628,             0.00028628,             0.00028628
                     44,                 2.0154,                 3.4716,                 2.3043,                      0,                      0,                      0,                      0,                 6.2579,                 6.1185,                 4.4317,             0.00025856,             0.00025856,             0.00025856
                     45,                 2.0084,                 3.3087,                 2.4109,                      0,                      0,                      0,                      0,                 6.2579,                 6.1185,                 4.4317,             0.00022926,             0.00022926,             0.00022926
                     46,                 1.9931,                 3.3241,                   2.33,                      0,                      0,                      0,                      0,                 6.2609,                 6.1014,                  4.439,             0.00019838,             0.00019838,             0.00019838
                     47,                 2.0436,                 3.1816,                  2.344,                      0,                      0,                      0,                      0,                 6.2609,                 6.1014,                  4.439,             0.00016591,             0.00016591,             0.00016591
                     48,                 1.9787,                 3.2229,                 2.4289,                      0,                      0,                      0,                      0,                 6.2627,                 6.0916,                 4.4435,             0.00013186,             0.00013186,             0.00013186
                     49,                 1.9063,                 3.1263,                 2.2331,                      0,                      0,                      0,                      0,                 6.2627,                 6.0916,                 4.4435,             9.6224e-05,             9.6224e-05,             9.6224e-05
                     50,                 1.8913,                 3.1273,                 2.3387,                      0,                      0,                      0,                      0,                 6.2639,                 6.0905,                 4.4466,             5.9004e-05,             5.9004e-05,             5.9004e-05
